,Entity,mortality_rate,agriculture_land,hapiness_rate,literacy_rate,maternal_mortality,life_expectancy,birth_rate,terrorist_incidents,health_expenses,inflation_rate,basic_sanitation,gdp,population_density
68,Greece,0.37200000286102297,48.09154383242821,5.622519016,95.29287,3.0,81.043999,8.5,31.0,8.19431265,-1.7360367959808,98.963963960248,196591353761.226,83.947889837083
72,Guatemala,2.969400024414063,35.9835759611795,6.464986801,79.074211,88.0,73.150002,25.634,0.0,5.51590055,2.3887203283955203,67.36292035139171,63767597193.9175,151.665070921986
73,Guinea,9.115000152587893,59.01025557545171,3.504693508,30.472790000000003,679.0,59.418999,36.357,2.0,5.82712195,8.150870774897161,21.9522720308296,8794202409.5678,49.2085829399316
74,Guinea-Bissau,12.56100006103516,57.9658605974395,,59.77285,549.0,57.0,37.146,0.0,6.51981283,1.4046088728641102,21.4660037496657,1047808175.0005699,62.9632290184922
75,Guyana,3.9665000915527338,8.58521717043434,,87.53531600000001,229.0,66.53600300000001,20.733,0.0,4.45280875,-1.00173432776379,86.164053044025,3197222215.01211,3.90405892811786
76,Haiti,7.3092002868652335,66.7634252539913,3.569762468,60.68935,359.0,63.055,24.546,0.0,5.3723227,9.01651881309269,30.5437907368745,8724656126.498491,388.645174165457
77,Honduras,3.787599945068359,28.9123246045223,4.845436573,88.424583,129.0,73.375999,22.04,0.0,7.71396922,3.1578311798092096,79.77644697244921,20979767785.2104,80.0860577352757
79,Hungary,0.5275000095367431,58.146470783165796,5.34438324,99.380882,17.0,75.809998,9.4,1.0,7.12069992,-0.0616446800641176,97.98953148110729,123074092703.14099,108.726698332045
80,Iceland,0.20580000877380367,18.6733167082294,7.498070717,,3.0,82.586998,12.5,0.0,8.34576615,1.63305558181333,98.7774415584416,17344165907.2129,3.29990024937656
81,India,4.800299835205078,60.4471964455686,4.342079163,72.22530400000001,174.0,68.302002,19.269000000000002,884.0,3.59770551,5.87242659466756,44.1511227474094,2103587813812.2,440.28601602992103
82,Indonesia,2.7841999053955084,31.4644203646561,5.04279995,95.43768299999999,126.0,69.025002,19.35,29.0,3.0053612999999997,6.36312113115614,67.8866081615617,860854235065.0791,142.507390274734
83,Iran,1.542300033569336,28.214101525086605,4.749955654,87.172531,25.0,75.730003,17.102999999999998,9.0,7.76057939,13.699208443271699,88.2898219273923,385874474398.59,48.724481814386394
84,Iraq,3.5016998291015637,21.4222529591242,4.493377209,79.72176400000001,50.0,69.67199699999999,33.628,2751.0,3.10581652,1.3933302878026201,85.65929850091,177498577312.923,83.1544690550746
85,Ireland,0.3148000001907349,64.3054144287995,6.830125332000001,,8.0,81.306999,13.9,28.0,7.44604196,-0.289879079012739,92.17795166464649,291092489805.942,68.2531136594571
86,Israel,0.3780999898910523,24.671905009892,7.07941103,,5.0,82.334999,21.3,58.0,7.37530683,-0.632490013315584,100.0,300470790394.92303,387.250462107209
87,Italy,0.3118000030517578,44.0096552661998,5.847683907,99.015793,4.0,82.808998,8.0,5.0,8.98541669,0.0387903996579552,99.2814443535047,1832273032580.67,206.468287210172
88,Jamaica,1.6745000839233402,40.9972299168975,,88.499901,89.0,75.835999,16.809,0.0,5.65847448,3.6758879185711497,85.3737138329285,14145469269.456999,265.18319482917803
89,Japan,0.2848000049591065,12.3326750054861,5.879684448,,5.0,83.622002,8.0,10.0,10.87187938,0.7895178901394271,100.0,4394977752877.82,348.751920122888
